X;Source;Width;Height
1;Section;4276.089;64.496
1;Section;4383.319;80.054
1;Section;3670.288;58.404
1;Section;3666.039;56.526
1;Section;5936.226;42.201
1;Section;4671.017;29.202
1;Section;5843.992;46.76
1;Section;5857.246;64.818
1;Section;4276.089;53.599
1;Section;4383.319;56.641
1;Section;3670.288;40.599
1;Section;3666.039;20.961
1;Section;5936.226;22.803
1;Section;4671.017;23.057
1;Section;5843.992;30.977
1;Section;5857.246;17.714
1;Section;5586.458;57.974
1;Section;7018.589;32.248
1;Section;6826.631;51.934
1;Section;5442.687;43.748
1;Section;5621.324;29.694
1;Section;7589.272;35.429
1;Section;5380.441;27.05845042
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
2;Section;7160.6684;625.6112
2;Section;6912.3588;1526.9428
2;Section;6646.3128;603.0376
2;Section;6520.5456;596.588
2;Simulation;6357.532468;371.2427718
2;Simulation;6380.735141;324.8374254
2;Simulation;6403.937814;301.6347521
2;Simulation;6473.545834;301.6347521
2;Simulation;6473.545834;440.8507916
3;Section;6838.1884;917.4556
3;Section;6836.576;1757.516
3;Section;7436.3888;1247.9976
3;Simulation;7285.639397;672.877524
3;Simulation;7494.463457;696.0801972
3;Simulation;7564.071476;533.6614845
3;Simulation;7517.66613;626.4721775
3;Simulation;7703.287516;672.877524
4;Section;9895.2988;1431.8112
4;Section;9911.4228;1002.9128
4;Section;9611.5164;1436.6484
4;Section;9550.2452;1407.6252
4;Simulation;8422.570386;1020.917623
4;Simulation;8306.55702;928.1069296
4;Simulation;8701.002465;881.7015831
4;Simulation;8561.786426;904.9042564
4;Simulation;8933.029197;974.5122761
5;Section;9056.8508;1370.54
5;Section;9177.7808;1414.0748
5;Section;10108.1356;1406.0128
5;Section;9842.0896;1394.726
5;Simulation;9373.879989;1392.160394
5;Simulation;9397.082662;1229.741682
5;Simulation;9745.122761;1252.944355
5;Simulation;9605.906721;1229.741682
5;Simulation;9977.149493;1160.133662
6;Section;9922.7096;1347.9664
6;Section;10261.3136;1343.1292
6;Section;9695.3612;1507.594
6;Section;9932.384;1659.1596
6;Simulation;10534.01365;1577.78178
6;Simulation;10209.17623;1508.173761
6;Simulation;10928.4591;1531.376434
6;Simulation;10534.01365;1461.768414
6;Simulation;10882.05375;1554.579107
7;Section;11672.1636;1899.4072
7;Section;12070.4264;2073.5464
7;Section;11161.0328;1907.4692
7;Section;11951.1088;1938.1048
7;Simulation;11531.7286;1600.984454
7;Simulation;11276.49919;1624.187127
7;Simulation;11740.55266;1624.187127
7;Simulation;11647.74197;1624.187127
7;Simulation;11717.34999;1600.984454
