X;Source;Intermixing Width;Intermixing Height
2;Section;0.00027803;3.57E-05
2;Section;0.000580283;0.000115398
2;Section;0.000954045;0.000175443
2;Section;0.0012871;0.000236866
2;Simulation;0.000854772;0.000330214
2;Simulation;0.000648097;0.00029213
2;Simulation;0.00062928;0.000282794
2;Simulation;0.000797309;0.000227795
2;Simulation;0.000633147;0.000231394
3;Section;0.000141077;5.39E-05
3;Section;7.34E-05;3.90E-05
3;Section;6.79E-05;2.34E-05
3;Simulation;0.000693709;0.0004976
3;Simulation;0.000582203;0.000411148
3;Simulation;0.000770661;0.000392049
3;Simulation;0.000673425;0.000373713
3;Simulation;0.000771246;0.000403381
4;Section;0.000122936;3.03E-05
4;Section;0.00014416;2.99E-05
4;Section;6.94E-05;1.02E-05
4;Section;1.54E-05;5.05E-07
4;Simulation;0.000615676;0.000585916
4;Simulation;0.000598154;0.000482967
4;Simulation;0.000683376;0.000475246
4;Simulation;0.000679312;0.000487434
4;Simulation;0.00069002;0.000476297
5;Section;4.82E-05;2.89E-06
5;Section;9.28E-05;3.81E-05
5;Section;0.000155443;4.75E-05
5;Section;0.000201449;4.24E-05
5;Simulation;0.000568775;0.00050232
5;Simulation;0.000537658;0.00051195
5;Simulation;0.000563164;0.000450412
5;Simulation;0.000464174;0.000423679
5;Simulation;0.000513557;0.000412228
6;Section;0.000246953;3.98E-05
6;Section;1.25E-05;1.78E-06
6;Section;0.000216454;2.51E-05
6;Section;0.000210908;1.48E-05
6;Simulation;0.000377059;0.00036606
6;Simulation;0.000364947;0.000417443
6;Simulation;0.000398739;0.000349505
6;Simulation;0.000309003;0.000282362
6;Simulation;0.000303956;0.000315614
7;Section;2.81E-05;7.08E-06
7;Section;1.27E-05;8.58E-06
7;Section;7.05E-05;2.63E-05
7;Section;0.000128289;3.03E-05
7;Simulation;0.000213517;0.00025526
7;Simulation;0.000290673;0.000371885
7;Simulation;0.000254943;0.000305451
7;Simulation;0.000159147;0.000163081
7;Simulation;0.00018228;0.0002246
