X;Strain;Ratio
1;S1;0.75
1;S2;0.25
1;S1;0.727272727
1;S2;0.272727273
1;S1;0.75
1;S2;0.25
1;S1;0.75
1;S2;0.25
1;S1;0.714285714
1;S2;0.285714286
2;S1;0.532913386
2;S2;0.467086614
2;S1;0.605844619
2;S2;0.394155381
2;S1;0.609430255
2;S2;0.390569745
2;S1;0.581668115
2;S2;0.418331885
2;S1;0.534065934
2;S2;0.465934066
3;S1;0.411841461
3;S2;0.588158539
3;S1;0.491390023
3;S2;0.508609977
3;S1;0.50047792
3;S2;0.49952208
3;S1;0.447067641
3;S2;0.552932359
3;S1;0.424109404
3;S2;0.575890596
4;S1;0.330038172
4;S2;0.669961828
4;S1;0.438344321
4;S2;0.561655679
4;S1;0.422098142
4;S2;0.577901858
4;S1;0.349726776
4;S2;0.650273224
4;S1;0.349695153
4;S2;0.650304847
5;S1;0.268333783
5;S2;0.731666217
5;S1;0.375329236
5;S2;0.624670764
5;S1;0.366397345
5;S2;0.633602655
5;S1;0.311440827
5;S2;0.688559173
5;S1;0.290828973
5;S2;0.709171027
6;S1;0.241508135
6;S2;0.758491865
6;S1;0.335260116
6;S2;0.664739884
6;S1;0.344690105
6;S2;0.655309895
6;S1;0.293442877
6;S2;0.706557123
6;S1;0.24907154
6;S2;0.75092846
7;S1;0.225526241
7;S2;0.774473759
7;S1;0.304106128
7;S2;0.695893872
7;S1;0.316128771
7;S2;0.683871229
7;S1;0.298601678
7;S2;0.701398322
7;S1;0.235054884
7;S2;0.764945116
