X;Source;Width;Height
1;Section;4276.089;64.496
1;Section;4383.319;80.054
1;Section;3670.288;58.404
1;Section;3666.039;56.526
1;Section;5936.226;42.201
1;Section;4671.017;29.202
1;Section;5843.992;46.76
1;Section;5857.246;64.818
1;Section;4276.089;53.599
1;Section;4383.319;56.641
1;Section;3670.288;40.599
1;Section;3666.039;20.961
1;Section;5936.226;22.803
1;Section;4671.017;23.057
1;Section;5843.992;30.977
1;Section;5857.246;17.714
1;Section;5586.458;57.974
1;Section;7018.589;32.248
1;Section;6826.631;51.934
1;Section;5442.687;43.748
1;Section;5621.324;29.694
1;Section;7589.272;35.429
1;Section;5380.441;27.05845042
1;Simulation;5034.980093;23.20267324
1;Simulation;5058.182766;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
2;Section;6622.1268;615.9368
2;Section;6398.0032;672.3708
2;Section;6923.6456;649.7972
2;Section;6805.9404;649.7972
2;Simulation;6798.383259;324.8374254
2;Simulation;6984.004645;371.2427718
2;Simulation;6427.140487;301.6347521
2;Simulation;6798.383259;278.4320789
2;Simulation;6728.77524;301.6347521
3;Section;8821.4404;1123.8428
3;Section;8661.8128;1555.966
3;Section;7425.102;885.2076
3;Section;7302.5596;938.4168
3;Simulation;8236.949;672.877524
3;Simulation;8352.962366;556.8641578
3;Simulation;7935.314248;580.066831
3;Simulation;8376.16504;556.8641578
3;Simulation;7958.516921;510.4588113
4;Section;8128.1084;1306.044
4;Section;8310.3096;1783.3144
4;Section;9942.0584;1275.4084
4;Section;10390.3056;1518.8808
4;Simulation;9489.893355;951.3096028
4;Simulation;9652.312068;904.9042564
4;Simulation;9327.474642;974.5122761
4;Simulation;9791.528107;904.9042564
4;Simulation;9095.44791;835.2962366
5;Section;9658.276;1194.7884
5;Section;10204.8796;1468.8964
5;Section;10577.344;1428.5864
5;Section;10478.9876;1575.3148
5;Simulation;10464.40563;1252.944355
5;Simulation;10858.85108;1160.133662
5;Simulation;10255.58157;1322.552375
5;Simulation;10812.44573;1183.336335
5;Simulation;10139.56821;1113.728316
6;Section;10042.0272;1718.8184
6;Section;10051.7016;1797.826
6;Section;11741.4968;1828.4616
6;Section;11899.512;1273.796
6;Simulation;11206.89117;1461.768414
6;Simulation;11601.33662;1484.971087
6;Simulation;11276.49919;1647.3898
6;Simulation;11578.13395;1461.768414
6;Simulation;11183.6885;1415.363068
7;Section;11190.056;1738.1672
7;Section;11523.8228;1636.586
7;Section;12409.0304;1465.6716
7;Section;12381.6196;1512.4312
7;Simulation;12367.02484;1577.78178
7;Simulation;12599.05157;1577.78178
7;Simulation;12204.60612;1647.3898
7;Simulation;12552.64622;1600.984454
7;Simulation;12320.61949;1577.78178
